GroupIndex,Time_1P,Time_2P,Time_4P,Time_8P,Cumulative_1P,Cumulative_2P,Cumulative_4P,Cumulative_8P
0,0.09463262557983398,1.3348808288574219,1.507336139678955,1.9229378700256348,0.09463262557983398,1.3348808288574219,1.507336139678955,1.9229378700256348
1,0.08868288993835449,1.3496983051300049,1.4892373085021973,2.0499556064605713,0.18331551551818848,2.6845791339874268,2.9965734481811523,3.972893476486206
2,0.08047175407409668,1.3333637714385986,1.4972422122955322,1.9709665775299072,0.26378726959228516,4.017942905426025,4.493815660476685,5.943860054016113
3,0.07042431831359863,1.350965976715088,1.4790916442871094,1.9559674263000488,0.3342115879058838,5.368908882141113,5.972907304763794,7.899827480316162
4,0.0767068862915039,1.3916833400726318,1.478757619857788,1.9996943473815918,0.4109184741973877,6.760592222213745,7.451664924621582,9.899521827697754
5,0.07480859756469727,1.4070701599121094,1.486560583114624,2.0191595554351807,0.48572707176208496,8.167662382125854,8.938225507736206,11.918681383132935
6,0.09680747985839844,1.444199562072754,1.486462116241455,2.015364408493042,0.5825345516204834,9.611861944198608,10.424687623977661,13.934045791625977
7,0.0916299819946289,1.4148080348968506,1.5536301136016846,1.9988980293273926,0.6741645336151123,11.026669979095459,11.978317737579346,15.93294382095337
8,0.09644603729248047,1.4069726467132568,1.5695147514343262,1.9811046123504639,0.7706105709075928,12.433642625808716,13.547832489013672,17.914048433303833
9,0.08375954627990723,1.3599562644958496,1.5683116912841797,2.028225898742676,0.8543701171875,13.793598890304565,15.116144180297852,19.94227433204651
