,Measured Speed Up 2,Measured Speed Up 4,Measured Speed Up 8,Cumulative Speed Up 2,Cumulative Speed Up 4,Cumulative Speed Up 8
Group 0,0.03572150652557847,0.03163458566650974,0.024797449247938686,0.03572150652557847,0.03163458566650974,0.024797449247938686
Group 1,0.026485039422907787,0.024003436266549362,0.017437847291785998,0.031077782734375805,0.027842056436140572,0.02100000102018584
Group 2,0.03099704552479905,0.027604309566608743,0.020969578071788918,0.03105098990212542,0.027762844319801465,0.02098991285964112
Group 3,0.03538725552655591,0.03232184997484855,0.02444160244331509,0.03214211427268255,0.028891806620163916,0.02184453815471089
Group 4,0.030339671308342583,0.02855316823805148,0.021114834453769025,0.03177107727437626,0.028824604982276195,0.021697138675076003
Group 5,0.02688997031353673,0.02545209072463519,0.018738526495963494,0.030930192865764233,0.02826370542150074,0.02119591627804674
Group 6,0.03196232978706208,0.031053588367267848,0.022904037843863394,0.03108527329642285,0.028661516411836063,0.021442972119588122
Group 7,0.027681877813731368,0.02520840887996646,0.01959306706859801,0.03064859102661953,0.02821363616983961,0.021210888732963486
Group 8,0.03401199504310812,0.030489644421671035,0.024155184126811006,0.03102918886053364,0.02847731144989142,0.02153649671636212
Group 9,0.029654264411179583,0.025714596708756178,0.01988363459908493,0.030893630538664365,0.028190677651184153,0.02136839263267067
